job_title_clean,industry_clean,position_ID
Product Design Manager,Insurance,3478
Senior Engineer,Computing Or Tech,3479
Producer,Computing Or Tech,3480
Director of customer success management ,Saas Company/Software,3481
Assistant Director/Adult Svcs Coordinator,Government And Public Administration,3482
Marketing Director,Business Or Consulting,3483
Senior Attorney,Government And Public Administration,3484
Delivery Driver,Transport Or Logistics,3485
Web Content Administrator,Media And Digital,3486
User Services Librarian,Education (Higher Education),3487
Online Community Manager,Nonprofits,3488
Training Manager,Insurance,3489
Public Safety Auditor,Government And Public Administration,3490
Product Developer,Computing Or Tech,3491
School Psychologist,Education (Primary/Secondary),3492
Valuation Actuary,Insurance,3493
Finance Director,Beauty /CPG ,3494
Private Instrumental Tutor,Education (Primary/Secondary),3495
Senior Content Strategist,Computing Or Tech,3496
Associate Director Of Training,Nonprofits,3497
Campaign Development Specialist,Nonprofits,3498
Senior Marketing Research Analyst,Entertainment,3499
Training Consultant/ Program Manager,Education (Higher Education),3500
Loan Processor,"Accounting, Banking And Finance",3501
Administrative Support Supervisor,Education (Higher Education),3502
Fundraising And Impact Manager,Nonprofits,3503
Assistant Director Of Finance,Education (Higher Education),3504
"Senior Manager II, People Operations",Retail,3505
Service Manager,Insurance,3506
EHS analyst,"Environment, Health, And Safety",3507
Automation Engineer,Computing Or Tech,3508
Senior Developer / Consultant,Computing Or Tech,3509
Controllers,Art And Design,3510
Senior IT Advisor,Computing Or Tech,3511
Asset Analyst,Computing Or Tech,3512
Biologist,Government And Public Administration,3513
Ot,Health Care,3514
Practice Support Analyst,Computing Or Tech,3515
Grants Manager,Government And Public Administration,3516
Branch Librarian,Government And Public Administration,3517
Travel Agent,"Leisure, Sport And Tourism",3518
Process Chemist,Agriculture Or Forestry,3519
Energy Analyst (Self-Employed),"Clean Energy (eg. energy efficiency, renewables, etc.)",3520
GIS Lead,Oil And Gas,3521
Assistant Winemaker,Agriculture Or Forestry,3522
Business Operations Administrator,Entertainment,3523
Infection Preventionist,Health Care,3524
Senior Producer,Media And Digital,3525
GIS (Geographic Information Systems) Manager,Government And Public Administration,3526
Digital Campaigns Manager,Nonprofits,3527
Senior Director of Digital Strategy,"Marketing, Advertising And Pr",3528
Tech Writer/Compliance Analyst,Computing Or Tech,3529
Packager,Engineering Or Manufacturing,3530
Financial Aid Counselor,Education (Higher Education),3531
Director Of Program,Nonprofits,3532
Director Of Population Health And Business Operations,Business Or Consulting,3533
Client Service Representative,Environmental Health + Pest Control,3534
Customer Support Supervisor,Computing Or Tech,3535
Associate Attorney (mid-level),Law,3536
"Super Sub, Tech Assistant, After School Instructor",Education (Primary/Secondary),3537
Social Media/PPC,"Marketing, Advertising And Pr",3538
High School ESL teacher,Education (Primary/Secondary),3539
Graphic Design Supervisor,"Marketing, Advertising And Pr",3540
Interior Designer,Architecture,3541
Senior Scrum Master,Computing Or Tech,3542
Clinical Research Assoicate,Health Care,3543
Onboarding Specialist,Computing Or Tech,3544
Theatre Producer,Entertainment,3545
Compliance,Nonprofits,3546
Veterinary Specialist,Veterinary,3547
Library Information Supervisor,Library,3548
Full-Time Instructor,Education (Higher Education),3549
Shift Leader,Retail,3550
Risk Management Analyst,Insurance,3551
Android Engineer,Computing Or Tech,3552
Growth Manager,Computing Or Tech,3553
Actuarial Consultant,Insurance,3554
Data Analytics Lead,Government And Public Administration,3555
Zoo Curator,Zoo,3556
Senior Economist,Government And Public Administration,3557
Senior Quality Assurance Analyst,Computing Or Tech,3558
Hr Generalist,Retail,3559
Quantitative Research Scientist,Health Care,3560
State Field Director,Nonprofits,3561
Library Fellow,Education (Higher Education),3562
Quality Assurance Laboratory Manager,Agriculture Or Forestry,3563
Engineer In Training,Engineering Or Manufacturing,3564
Product Training Specialist,Computing Or Tech,3565
Talent Relations Manager,Media And Digital,3566
Global Compliance Manager,Legal Services,3567
Office Assistant,Education (Higher Education),3568
Director Of Development And Marketing,Nonprofits,3569
Dean Of Students,Education (Primary/Secondary),3570
Chief X Officer,Food And Beverage,3571
Hr Generalist,Computing Or Tech,3572
executive director/ceo,Nonprofits,3573
VP,"Leisure, Sport And Tourism",3574
Operational Risk Manager,"Accounting, Banking And Finance",3575
Qa Engineering Lead,Computing Or Tech,3576
Head Of Client Success,Politics,3577
"Associate Director, Finance Operations","Marketing, Advertising And Pr",3578
Asst Librarian,Education (Primary/Secondary),3579
Group Manager,Clinical Research And Development,3580
Associate,Education (Primary/Secondary),3581
Ceramic Artist,Art And Design,3582
"Associate Director, Medical Affairs",Health Care,3583
Backend Engineer,Computing Or Tech,3584
Ombudsman,Law,3585
Assistant Professor In Microbiology,Education (Higher Education),3586
Community Organizing Manager,Nonprofits,3587
Implementation Consultant,Computing Or Tech,3588
Licensed Social Worker,Social Work,3589
Quality Assurance Coordinator,Health Care,3590
Senior Account Executive,Political Campaigns,3591
Early Learning STEM Manager,Museum,3592
Chief Of Staff,Nonprofits,3593
Business Administration Assistant,Government And Public Administration,3594
Document Coordinator,Agriculture Or Forestry,3595
Test Centre Administrator,Hospitality And Events,3596
GIS Analyst,,3597
Marketing Coordinator,Insurance,3598
Parts Manager,Automotive Repair,3599
Senior Engineering Manager,Engineering Or Manufacturing,3600
In House Counsel,Law,3601
Assistant Editor,Entertainment,3602
Social Security Benefits Counselor,Social Work,3603
Program Manager,Community Foundation,3604
Lead Accountant,Government And Public Administration,3605
Sr. BI Engineer,Nonprofits,3606
Psychiatrist,Health Care,3607
Web Developer,Media And Digital,3608
Data Analyst,Oil And Gas,3609
Senior Trade Policy Officer,Government And Public Administration,3610
Teen Services Librarian,Government And Public Administration,3611
Data Scientist,Retail,3612
Director Of Claims,Insurance,3613
Study Abroad Advisor,Education (Higher Education),3614
"Analytics Manager, Strategic Planning",Health Care,3615
Consultant/Human Capital Consultant,Government And Public Administration,3616
Team Leader,Computing Or Tech,3617
Production Coordinator for Film & TV,Media And Digital,3618
Research Manager,Biomedical Research,3619
Transportation Engineer,Engineering Or Manufacturing,3620
Contracts Specialist,Computing Or Tech,3621
Asst Curator And Outreach Coordinator,Archaeology / Cultural Resource Management,3622
Senior Information Security Engineer,Computing Or Tech,3623
Manager,Utilities And Telecommunications,3624
Clinical Epidemiologist,Scientific Research,3625
Housecall Veterinarian,Veterinary,3626
Director Of Customer Service,Sales,3627
Youth Programs Coordinator,Nonprofits,3628
Venture Analyst,Education (Higher Education),3629
Advocacy Manager,Nonprofits,3630
Funding Coordinator,Law,3631
Consumer Services Supervisor,Nonprofits,3632
Human Resources Manager,Recruitment Or Hr,3633
Experience Designer,Art And Design,3634
Bike Mechanic,"Leisure, Sport And Tourism",3635
UX research director ,Business Or Consulting,3636
Senior IT Manager,Nonprofits,3637
Senior Advisor to the HR Director,Government And Public Administration,3638
Recruitment Coordinator,Education (Higher Education),3639
Secondary Teacher,Education (Primary/Secondary),3640
Writing Specialist And Adjunct,Education (Higher Education),3641
International Board Certified Lactation Consultant,Health Care,3642
Training Manager,Recruitment Or Hr,3643
Digital Reproduction Specialist,Education (Primary/Secondary),3644
Office Chief,Government And Public Administration,3645
Community Manager,Business Or Consulting,3646
equity partner at a law firm,Law,3647
Licensed Clinical Social Worker,Social Work,3648
Search Coordinator,Recruitment Or Hr,3649
Administrative Assistant,Law,3650
Game Designer,Entertainment,3651
Engineer,Public Health,3652
Paralegal,Nonprofits,3653
Elementary School Teacher,Education (Primary/Secondary),3654
Principal Counsel,Law,3655
Senior Finance Manager,Utilities And Telecommunications,3656
Principal Design Researcher,Computing Or Tech,3657
Public Services Supervisor,Library,3658
Senior Software Consultant,Computing Or Tech,3659
Manager Of Technical Services,Art And Design,3660
Account Service Representative,"Accounting, Banking And Finance",3661
Outreach,Education (Higher Education),3662
Senior Investigator,Government And Public Administration,3663
GC Analyst II,Chemistry,3664
Director of IT,Insurance,3665
Senior Policy Associate,Nonprofits,3666
Senior Support Service Manager,Computing Or Tech,3667
Admission Specialist,Nonprofits,3668
Library Assistant III,Education (Higher Education),3669
Human Resources Associate,Utilities And Telecommunications,3670
Operations Lead,Retail,3671
Library Manager,Government And Public Administration,3672
Actuarial Analyst,Actuarial,3673
Outsorced Accountant,"Accounting, Banking And Finance",3674
Associate Director,Business Or Consulting,3675
Marketing Strategist,Insurance,3676
"Vp, People Operations",Recruitment Or Hr,3677
Technical Services Librarian,Librarian In Legal Setting,3678
Sr. Analyst,Procurement,3679
Technologist,Engineering Or Manufacturing,3680
Director Of Development Operations,Nonprofits,3681
Project director / senior policy and communications associate,Nonprofits,3682
Research Consultant,Recruitment Or Hr,3683
Senior Finance Manager,Computing Or Tech,3684
Vice President Of Strategy,Media And Digital,3685
Support Specialist,Computing Or Tech,3686
Research It Specialist,Academic research (social science),3687
Support Services Coordinator,Property Or Construction,3688
Student Data Specialist,Education (Primary/Secondary),3689
Operations And Accounting Lead,Manufacturing/Wholesale,3690
Conference Event Planner,Hospitality And Events,3691
Strategic Assistant,Pharmaceutical,3692
Associate professor (tenured),Education (Higher Education),3693
"Monitoring, Evaluation, And Learning Manager",Nonprofits,3694
Ux Researcher,Computing Or Tech,3695
Assistant Director Of Finance,Hospitality And Events,3696
Director Of Talent Management,Recruitment Or Hr,3697
Mailing Operator,Engineering Or Manufacturing,3698
iOS Developer,Computing Or Tech,3699
Library Director,Library,3700
Marketing Director,Media And Digital,3701
Senior QA Engineer,Computing Or Tech,3702
Physician Anesthesiologist,Health Care,3703
Research Associate,Research,3704
Marketing Manager,Transport Or Logistics,3705
Science Policy Fellow,Government And Public Administration,3706
Business Science And Chemistry Teaching Fellow,Education (Higher Education),3707
Head Of User Services,Education (Higher Education),3708
Associate Director,Health Care,3709
Application Systems Analyst,Health Care,3710
Member relations manager ,Nonprofits,3711
Workshop Coordinator,Nonprofits,3712
Technical Customer Support,Computing Or Tech,3713
Assistant Residential Dean,Education (Primary/Secondary),3714
Director Of Government Affairs,Government Affairs/Lobbying,3715
Flight Dynamics Analyst,Engineering Or Manufacturing,3716
Associate Medical Director,Medical Communications,3717
Exec Asst,"Accounting, Banking And Finance",3718
Shift Supervisor,Hospitality And Events,3719
Supervisory Management Analyst,Government And Public Administration,3720
Scientist,Government And Public Administration,3721
Principal It Consultant,Computing Or Tech,3722
Senior Dev,Education (Higher Education),3723
Accountant,Engineering Or Manufacturing,3724
Human Resources Business Partner/Vp,Government And Public Administration,3725
Scientist,Engineering Or Manufacturing,3726
Administrative Coordinator,Engineering Or Manufacturing,3727
Associate Vice President,"Marketing, Advertising And Pr",3728
Quality System Specialist,Food Manufacturing,3729
Inside Channel Development Manager,Utilities And Telecommunications,3730
Officer Manager,Food Manufacturing,3731
Sales Advisor,Food Demos,3732
Technical Support,Health Care,3733
Development Specialist,Education (Higher Education),3734
Project Leader,Computing Or Tech,3735
Controller Of Compensation And Benefits,Agriculture Or Forestry,3736
Owner/Operator,Education services (tutoring),3737
Tax Accountant - Senior Associate,"Accounting, Banking And Finance",3738
Membership Manager,Nonprofits,3739
Sr data consultant,Business Or Consulting,3740
Head Of Technical Services,Education (Higher Education),3741
Founder,Engineering Or Manufacturing,3742
"Director, Initiative Management",Health Care,3743
Director Of Market Research,Business Or Consulting,3744
People Analytics And Reporting Manager,Insurance,3745
Reception / Admin,Law,3746
Marketing And Communications Manager,Computing Or Tech,3747
Executive Secretary (Admin.),Nonprofits,3748
director of educational development,Education (Higher Education),3749
Assistant Library Director,Government And Public Administration,3750
Senior Associate,Politics,3751
"Vice President, Financial Planning And Analysis","Accounting, Banking And Finance",3752
Operations Analyst,Retail,3753
Fiscal & HR Officer,Education (Higher Education),3754
Accounts Receivable,"Marketing, Advertising And Pr",3755
Director Of Policy And Advocacy,Government And Public Administration,3756
Researcher,Business Or Consulting,3757
Volunteer Supervisor,Nonprofits,3758
Writing Center Director,Education (Higher Education),3759
Ip Paralegal/Technical Librarian,Engineering Or Manufacturing,3760
System Owner,Government And Public Administration,3761
Assistant Director Business Intelligence,Education (Higher Education),3762
Grants And Operations Manager,Nonprofits,3763
Policy Advisor,Government And Public Administration,3764
Unit Supervisor,Government And Public Administration,3765
Branch Manager,Wholesale Distribution,3766
Membership Specialist,Nonprofits,3767
Video Producer,"Marketing, Advertising And Pr",3768
Business Unit Controller,Recruitment Or Hr,3769
"Principal Engineer, R&D",Engineering Or Manufacturing,3770
Onboarding And Education Specialist,Health Care,3771
Principal Product Designer,Computing Or Tech,3772
Scientific Grants Management,Government And Public Administration,3773
Associate Director Of Product Management,Pharmaceutical,3774
Tech Lead,"Marketing, Advertising And Pr",3775
Regulatory Affairs Specialist,Engineering Or Manufacturing,3776
Chief Content Officer,Media And Digital,3777
Production Assistant,Art And Design,3778
Engagement Manager,Nonprofits,3779
Director Of Grants And Contracts,Nonprofits,3780
Government analyst/PA I,Government And Public Administration,3781
Foundation Manager,Hospitality And Events,3782
Strategy Manager,Business Or Consulting,3783
Senior Associate Scientist,Pharmaceutical,3784
Assistant Counsel,Government And Public Administration,3785
Accounting Clerk,Enviromental,3786
Senior Payroll & Benefits Specialist,Hospitality And Events,3787
Deputy Communications Director,Politics,3788
Senior Marketing Manager,Government And Public Administration,3789
Provider Relations Coordinator,Health Care,3790
Technology Training Manager,Education (Higher Education),3791
Administrative Assistant,"Leisure, Sport And Tourism",3792
Senior Program Coordinator,Nonprofits,3793
Senior Compliance Analyst,Engineering Or Manufacturing,3794
Communications Manager,Government And Public Administration,3795
Digital Resources Professional,Education (Higher Education),3796
Bureau Chief,Government And Public Administration,3797
"Manager, Parliamentary Education And Heritage",Tourism/Heritage -- But For A Government Building,3798
Finance Business Partner,"Accounting, Banking And Finance",3799
Corporate Finance Associate,"Accounting, Banking And Finance",3800
Underwriting Support Tech,Insurance,3801
General Accounting Manager,Retail,3802
Assistant County Attorney,Law,3803
Director Of Communications,Art And Design,3804
Supply Chain Manager,Property Or Construction,3805
Assistant to the (Press) Director,Academic Publishing,3806
Resident Physician,Health Care,3807
Director Of Peo Human Resources,Education (Primary/Secondary),3808
COO,Computing Or Tech,3809
Site Reliability Engineer,Computing Or Tech,3810
Director of research and development,Scientist,3811
Terminal Manager,Transport Or Logistics,3812
Web Design And Front-End Developer,Computing Or Tech,3813
Client Service Coordinator,Law,3814
Administrative Director,Health Care,3815
Planning Manager,Government And Public Administration,3816
Community Supervision Officer,Law Enforcement And Security,3817
Accounts Payable Processor,"Accounting, Banking And Finance",3818
Director Of Content Learning,Education (Primary/Secondary),3819
Payroll And Billings Clerk,Property Or Construction,3820
Marketing Specialist,Transport Or Logistics,3821
Director Of Communications And Government Affairs,"Marketing, Advertising And Pr",3822
R&D Lab Manager,Engineering Or Manufacturing,3823
Vice President Of Marketing,"Marketing, Advertising And Pr",3824
Instructional Technologist,Education (Higher Education),3825
Student Services Coordinator,Education (Higher Education),3826
Product Analyst,Nonprofits,3827
Copyeditor,"Marketing, Advertising And Pr",3828
Freelance Marketing Consultant,"Marketing, Advertising And Pr",3829
Salesforce Administrator,Nonprofits,3830
Parts Analyst,Engineering Or Manufacturing,3831
Education And Training Coordinator,Government And Public Administration,3832
Senior Manager,Trade Association,3833
Marketing Manager,"Accounting, Banking And Finance",3834
Senior Accountant,Corporate accounting in death care (funeral & cemetery),3835
Museum Mountmaker,Art And Design,3836
Director Of Technical Services,Education (Higher Education),3837
Homeless Services Case Manager,Social Work,3838
Horse barn foreman,Agriculture Or Forestry,3839
Postdoctoral Associate,Academic Science,3840
University Archives Assistant,Education (Higher Education),3841
Director Of Sustainability,Engineering Or Manufacturing,3842
"Vice President, Asset Management","Accounting, Banking And Finance",3843
Freelance Content Writer,"Marketing, Advertising And Pr",3844
Engineering Associate,Engineering Or Manufacturing,3845
Senior Technical Writer,Defense Contracting,3846
Operations Manager,Real Estate,3847
Collection Manager,Art And Design,3848
Specimen Processing Trainer,Health Care,3849
Contract Administrator,Government And Public Administration,3850
Seo Supervisor,Engineering Or Manufacturing,3851
Admin Support,Legal Services,3852
Branch Manager,Government And Public Administration,3853
Hr Administrator,Insurance,3854
Director Of Compliance,Insurance,3855
Executive Assistant/Social Media Coordinator,Government And Public Administration,3856
Senior Technical Specialist,Biotech Manufacturing,3857
Director Of International Student And Scholar Services,Education (Higher Education),3858
Document Specialist,Government And Public Administration,3859
Executive Director/Ceo,Government And Public Administration,3860
Financial Planning And Analysis Manager,"Leisure, Sport And Tourism",3861
Content Marketing Specialist,"Marketing, Advertising And Pr",3862
Estimator,Property Or Construction,3863
Senior Graphic Designer,"Marketing, Advertising And Pr",3864
Senior Director of SEO,"Marketing, Advertising And Pr",3865
VP Operations and HR,Real Estate,3866
Director Of Finance And Administration,"Leisure, Sport And Tourism",3867
Manager Of Data Engineering,Nonprofits,3868
"Assistant Director, Stewardship",Education (Higher Education),3869
